id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
140,Korter 34,40.5,6,0,2020,2021-03-05,2,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-34/,2,4,0
141,Korter 35,37.3,4.8,0,2020,2021-03-05,3,3,1,1,#,2,4,0
142,Korter 36,53.6,4.8,0,2020,2021-03-05,3,3,1,1,#,2,4,0
143,Korter 37,52.9,4.8,140900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-37/,2,4,2663.52
144,Korter 38,66.2,4.8,0,2020,2021-03-05,3,3,1,1,#,2,4,0
145,Korter 39,78.8,4.8,0,2020,2021-03-05,3,3,1,1,#,3,4,0
146,Korter 40,41,4.5,0,2020,2021-03-05,3,3,1,1,#,2,5,0
147,Korter 41,40.5,6,0,2020,2021-03-05,3,3,1,1,#,2,5,0
148,Korter 42,37.3,4.8,0,2020,2021-03-05,3,3,1,1,#,2,5,0
149,Korter 43,53.6,4.8,0,2020,2021-03-05,3,3,1,1,#,2,5,0
150,Korter 44,52.9,4.8,143900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-44/,2,5,2720.23
151,Korter 45,66.2,4.8,179900,2020,2021-03-05,1,3,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191b/korter-45/,3,5,2717.52
152,Korter 46,78.8,4.8,0,2020,2021-03-05,3,3,1,1,#,3,5,0
153,Korter 1,70.4,4.7,0,2020,2021-03-05,3,4,1,1,#,3,2,0
154,Korter 2,62.6,5.6,0,2020,2021-03-05,3,4,1,1,#,3,2,0
155,Korter 3,83.6,5.6,0,2020,2021-03-05,2,4,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191c/korter-3/,4,2,0
156,Korter 4,45.5,4.8,0,2020,2021-03-05,3,4,1,1,#,2,2,0
157,Korter 5,49.5,4.7,0,2020,2021-03-05,3,4,1,1,#,2,2,0
158,Korter 6,45.8,50.6,0,2020,2021-03-05,3,4,1,1,#,2,2,0
